ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Membranestainintensityconversions,Intensity_IntegratedIntensity_Membranestainintensityconversions,Intensity_LowerQuartileIntensity_Membranestainintensityconversions,Intensity_MADIntensity_Membranestainintensityconversions,Intensity_MassDisplacement_Membranestainintensityconversions,Intensity_MaxIntensityEdge_Membranestainintensityconversions,Intensity_MaxIntensity_Membranestainintensityconversions,Intensity_MeanIntensityEdge_Membranestainintensityconversions,Intensity_MeanIntensity_Membranestainintensityconversions,Intensity_MedianIntensity_Membranestainintensityconversions,Intensity_MinIntensityEdge_Membranestainintensityconversions,Intensity_MinIntensity_Membranestainintensityconversions,Intensity_StdIntensityEdge_Membranestainintensityconversions,Intensity_StdIntensity_Membranestainintensityconversions,Intensity_UpperQuartileIntensity_Membranestainintensityconversions,Location_CenterMassIntensity_X_Membranestainintensityconversions,Location_CenterMassIntensity_Y_Membranestainintensityconversions,Location_CenterMassIntensity_Z_Membranestainintensityconversions,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Membranestainintensityconversions,Location_MaxIntensity_Y_Membranestainintensityconversions,Location_MaxIntensity_Z_Membranestainintensityconversions,Number_Object_Number
1,89,27.73566979,208.3734031,0.674746156,0.013756931,0.106837681,0.735669851,0.736652493,0.693391745,0.689978156,0.690795958,0.640681326,0.640681326,0.019998513,0.018321291,0.703406483,504.1566467,488.3808562,0,504.2152318,488.4701987,503,492,0,89
1,90,65.0779562,338.5525715,0.67048806,0.010481536,0.196672023,0.743203402,0.743203402,0.685031118,0.682565668,0.680642009,0.634785473,0.634785473,0.020429725,0.017546105,0.691451013,137.6220428,490.6744237,0,137.4677419,490.796371,155,471,0,90
1,91,117.6170976,1766.577134,0.676383913,0.010153949,0.068667391,0.73960042,0.754667521,0.695959157,0.687116738,0.685882747,0.648214877,0.634130359,0.017639011,0.015772273,0.697346866,292.0846954,493.0405006,0,292.0291715,493.0809024,272,490,0,91
1,92,31.70553547,107.8329512,0.671470702,0.013756961,0.1575469,0.775303006,0.775303006,0.689250771,0.686834084,0.685882747,0.648542404,0.648542404,0.024548213,0.021156181,0.698984623,498.8143366,496.3388191,0,498.9299363,496.4458599,493,494,0,92
1,93,94.87225646,1743.295117,0.677038968,0.011791706,0.133242175,0.752047181,0.772682607,0.702757455,0.690140585,0.688175559,0.661971807,0.623321295,0.017535489,0.01846285,0.701604962,359.7686779,495.0837587,0,359.6468725,495.1377672,384,487,0,93
1,94,57.55519152,282.4726495,0.66917783,0.010153949,0.092272454,0.759908259,0.759908259,0.685180851,0.680656987,0.679004252,0.648214877,0.622993767,0.021661822,0.016807904,0.689485729,438.5991403,494.4457362,0,438.5204819,494.4939759,459,483,0,94
1,95,5.321323335,7.304618478,0.654356375,0.009826392,0.009374558,0.676056325,0.676056325,0.665165417,0.664056225,0.665902406,0.653783143,0.653455615,0.009582844,0.00914711,0.674664289,509.9908524,506.8202323,0,510,506.8181818,508,508,0,95
1,96,67.79364568,607.3819186,0.673108399,0.012446821,0.175940043,0.74713397,0.761546016,0.691771895,0.687083618,0.684572577,0.657058656,0.6377334,0.020260936,0.01822753,0.698657036,133.9573724,501.366531,0,133.7941176,501.4321267,101,509,0,96
1,97,62.26007217,634.249918,0.676383913,0.012774348,0.178272278,0.76220113,0.765804112,0.69177858,0.69015225,0.688503087,0.648214877,0.63904357,0.022156189,0.019599292,0.702260077,438.0573285,502.9472925,0,437.8813928,502.9760609,462,496,0,97
1,98,2.716017067,4.784801841,0.681051418,0.005076975,0.001831911,0.690795958,0.693416297,0.679004267,0.68354312,0.687848032,0.665902376,0.665902376,0.009571997,0.009409576,0.69243367,0.428463865,509.7161145,0,0.428571429,509.7142857,0,509,0,98
1,99,10.14739597,22.4028824,0.673435986,0.008024901,0.014801784,0.689813316,0.696364224,0.676493065,0.678875224,0.681788415,0.656731069,0.65411073,0.009791892,0.011168928,0.687520444,3.980978436,509.0398854,0,3.96969697,509.030303,6,510,0,99
1,100,34.21454304,259.3337699,0.67048806,0.008188665,0.010047988,0.752702236,0.752702236,0.684290861,0.678884214,0.677366495,0.653455615,0.63904357,0.020700639,0.014297821,0.687684238,33.61277735,505.2779124,0,33.61256545,505.2879581,24,496,0,100
1,101,145.0756629,3139.261708,0.682852939,0.011791706,0.156933937,0.804127097,0.804127097,0.70768616,0.695296059,0.694071412,0.66033411,0.630854905,0.021694114,0.018174421,0.706845701,198.0861069,485.2877262,0,198.165227,485.4232558,224,468,0,101
1,102,36.13069129,349.7540126,0.677694082,0.012774289,0.150210085,0.765476584,0.765476584,0.694820986,0.691213464,0.689158201,0.650835216,0.633475244,0.02173709,0.019449104,0.704061598,482.9119441,503.981932,0,483.0573123,504.0197628,467,505,0,102
1,103,31.76678669,59.43661964,0.668358982,0.012774348,0.257715415,0.753029823,0.768752038,0.690582319,0.691123484,0.679659367,0.641991496,0.641991496,0.027592663,0.028889733,0.71699965,497.0395679,500.4913204,0,497.2209302,500.6744186,490,493,0,103
1,104,4.012774348,4.012774348,0.667048812,0.006550908,0.004606651,0.67671144,0.67671144,0.668795725,0.668795725,0.668522775,0.658368826,0.658368826,0.006032004,0.006032004,0.675892562,508.8313607,509.9958371,0,508.8333333,510,509,509,0,104
1,105,2.003930569,3.337373078,0.666229948,0.004749417,0.003631364,0.669505417,0.674746156,0.667976856,0.667474616,0.669341624,0.665247321,0.658696353,0.001934701,0.005327647,0.673435971,510.5988812,510.2034547,0,510.6,510.2,511,511,0,105
